subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST,
32,1,0.26495,0.22929,0.24712,214,14,121,1,0,1,0,1,1,1.4903,0
32,1,0.26495,0.22929,0.24712,215,29,102,0,0,0,1,1,1,1.258,1
32,1,0.26495,0.22929,0.24712,216,31,0,1,1,1,0,0,0,5.0089,0
32,1,0.26495,0.22929,0.24712,217,2,133,0,1,0,1,1,1,1.4994,1
32,1,0.26495,0.22929,0.24712,218,4,128,1,0,0,1,1,1,1.0787,1
32,1,0.26495,0.22929,0.24712,219,10,124,1,1,1,0,1,1,1.3834,0
32,1,0.26495,0.22929,0.24712,220,2,133,0,0,1,0,1,1,1.741,0
32,1,0.26495,0.22929,0.24712,221,14,121,1,1,1,0,1,1,1.4712,0
32,1,0.26495,0.22929,0.24712,222,16,128,1,0,0,1,1,1,1.1889,1
32,1,0.26495,0.22929,0.24712,223,16,111,0,1,1,0,1,1,1.2989,0
32,1,0.26495,0.22929,0.24712,224,27,104,0,1,0,1,1,1,1.3017,1
32,1,0.26495,0.22929,0.24712,225,8,128,0,1,0,1,1,1,1.25,1
32,1,0.26495,0.22929,0.24712,226,31,0,1,1,1,0,0,0,5.0113,0
32,1,0.26495,0.22929,0.24712,227,8,129,1,0,1,0,1,1,1.2989,0
32,1,0.26495,0.22929,0.24712,228,31,0,1,1,1,0,0,0,5.0054,0
32,1,0.26495,0.22929,0.24712,229,10,128,0,1,0,1,1,1,1.3849,1
32,1,0.26495,0.22929,0.24712,230,1,136,0,1,0,1,1,1,1.5205,1
32,1,0.26495,0.22929,0.24712,231,11,123,1,1,0,1,1,1,1.0488,1
32,1,0.26495,0.22929,0.24712,232,5,129,0,0,0,1,1,1,1.2462,1
32,1,0.26495,0.22929,0.24712,233,31,0,1,1,1,0,0,0,5.0127,0
32,1,0.26495,0.22929,0.24712,234,23,103,0,0,1,0,1,1,1.9352,0
32,1,0.26495,0.22929,0.24712,235,9,125,1,1,0,1,1,1,1.3107,1
32,1,0.26495,0.22929,0.24712,236,7,127,1,1,0,1,1,1,1.1748,1
32,1,0.26495,0.22929,0.24712,237,1,134,1,1,0,1,1,1,1.2943,1
32,1,0.26495,0.22929,0.24712,238,4,125,0,1,1,0,1,1,1.5034,0
32,1,0.26495,0.22929,0.24712,239,16,111,0,0,0,1,1,1,1.1499,1
32,1,0.26495,0.22929,0.24712,240,31,0,1,1,1,0,0,0,5.0057,0
32,1,0.26495,0.22929,0.24712,241,10,128,0,0,0,1,1,1,1.6487,1
32,1,0.26495,0.22929,0.24712,242,15,121,0,1,1,0,1,1,1.3502,0
32,1,0.26495,0.22929,0.24712,243,31,0,1,1,1,0,0,0,5.0107,0
32,1,0.26495,0.22929,0.24712,244,17,121,0,1,0,1,1,1,1.086,1
32,1,0.26495,0.22929,0.24712,245,10,124,1,0,0,1,1,1,1.4699,1
32,1,0.26495,0.22929,0.24712,246,2,133,0,1,1,0,1,1,1.2718,0
32,1,0.26495,0.22929,0.24712,247,31,0,1,1,1,0,0,0,5.0142,0
32,1,0.26495,0.22929,0.24712,248,16,128,1,1,0,1,1,1,1.1458,1
32,1,0.26495,0.22929,0.24712,249,5,129,0,0,0,1,1,1,1.4533,1
32,1,0.26495,0.22929,0.24712,250,21,114,1,0,1,0,1,1,1.2258,0
32,1,0.26495,0.22929,0.24712,251,28,100,0,1,0,1,1,1,1.1304,1
32,1,0.26495,0.22929,0.24712,252,9,129,0,0,0,1,1,1,1.3814,1
32,1,0.26495,0.22929,0.24712,253,29,102,0,1,0,1,1,1,1.3543,1
32,1,0.26495,0.22929,0.24712,254,26,106,1,1,0,1,1,1,1.1629,1
32,1,0.26495,0.22929,0.24712,255,11,125,0,0,1,0,1,1,1.6976,0
32,1,0.26495,0.22929,0.24712,256,22,115,0,0,0,1,1,1,1.2186,1
32,1,0.26495,0.22929,0.24712,257,24,110,1,0,1,0,1,1,1.6201,0
32,1,0.26495,0.22929,0.24712,258,12,122,1,1,0,1,1,1,1.0652,1
32,1,0.26495,0.22929,0.24712,259,17,113,1,0,0,1,1,1,1.2222,1
32,1,0.26495,0.22929,0.24712,260,5,133,1,1,1,0,1,1,2.5395,0
32,1,0.26495,0.22929,0.24712,261,18,117,0,1,1,0,1,1,1.4178,0
